corp_name,corp_code,stock_code,liabilities_ratio,current_ratio,retention_rate,gross_profit_rate,net_profit_rate,ROE,sales_growth_rate,profit_change_rate,cashdivide,dividend,divide_count,VHF,updown,beta,financial_stability,profitability,volatility,growth,dividend_stability,final_label
아이디피,1213586,332370,4.19046414226535,2162.2817856721,722.098406039118,37.3922097867448,17.9586537709261,11.0421825612274,14.9666767139329,0.120369660764658,3.55,26.2,3,39.5348837209302,-25.11,0.38,A,B,B,C,C,ABBCC
진매트릭스,552992,109820,35.4484598978571,429.377108508937,131.594105407372,49.9703865790006,-9.11852174735478,-3.86611458855558,-6.75603858313872,-1.0,3.55,26.2,0,41.358024691358,-23.43,0.9,C,B,B,C,B,CBBCB
엠로,396925,58970,227.967843171269,42.6730153810892,234.529366506959,37.8151520077724,-45.9758727027794,-100.179732334924,10.3417947678035,-1.0,3.55,26.2,0,28.8590604026846,424.71,1.43,C,B,B,B,B,CBBBB
액트로,1141942,290740,14.1309979994012,741.364485467382,1264.18938377713,15.7028285448445,-0.514754317370535,-0.281905511362019,5.25428027174508,-1.0,1.2,16.2,3,40.5555555555556,34.56,0.56,A,B,A,B,C,ABABC
테스,524421,95610,7.66499594085972,927.179139268513,3418.00667351739,8.22650048071091,0.896410137997999,0.434482281133136,-27.1537962661659,-0.740180757391252,2.4,560.1,3,41.4285714285714,28.03,0.24,A,B,A,C,C,ABACC
힘스,556712,238490,39.4874897622706,151.607036623412,1163.19584826554,40.6829822614861,11.1766710021481,8.17073008283944,-0.32019570963112,-1.0,0.7,9.9,1,46.2121212121212,14.36,0.71,C,B,A,C,C,CBACC
모바일어플라이언스,556615,87260,65.2228342730735,179.573970396451,199.396118209088,18.0909630240416,5.69974591455765,5.41217902724093,-0.06125492369667,0.0840439579524701,0.7,9.9,0,22.1374045801527,3.24,0.74,C,B,A,C,C,CBACC
미래컴퍼니,447760,49950,16.2932366502836,412.54333979138494,3054.25195248656,31.1632578894163,5.20693276721131,4.19092995334405,-1.61502773714466,-0.0915548352569084,0.3,22.4,3,43.9393939393939,98.58,1.55,A,B,B,C,C,ABBCC
동일금속,118284,109860,7.41176876230325,673.753748846733,3219.17683714286,12.5889592299122,-0.541441930715537,-0.403059747504702,16.442719060737197,-1.0,4.48,106.08,3,46.4285714285714,-50.68,0.31,A,B,B,C,A,ABBCA
아바코,442145,83930,87.5476593175653,159.900858657058,2224.92005383676,15.9538122553289,3.06347381455554,3.06418839151725,3.06212737447357,-0.23193361293533,1.3,67.7,3,25.6484149855908,19.06,1.1,C,B,B,B,C,CBBBC
프리시젼바이오,1137295,335810,85.8392670337723,113.158331331812,471.563130083828,38.9288996567682,-12.2649331140021,-6.32407984872662,16.8385222333902,-1.0,1.3,67.7,0,17.5824175824176,-19.56,0.72,C,B,B,C,C,CBBCC
본느,1098792,226340,100.538293345017,46.4500689641529,1050.2328935802,36.6119411744446,1.49194626699511,1.42465054396538,20.502344681110703,-1.0,1.3,67.7,0,39.1608391608392,35.84,-0.56,C,B,A,C,C,CBACC
원준,1459212,382840,71.9097715880691,185.167590847536,7436.56425074784,11.1961346124655,3.71670964171856,4.50995916600914,30.266962588594,-0.044848176412678,1.1,54.35,2,33.8565022421525,10.73,1.58,C,B,B,C,C,CBBCC
파크시스템스,244747,140860,34.3092325343865,307.515239020306,3985.57382318788,60.2293168789423,22.788235778517,18.4102047124387,14.6013134560407,0.375115977693082,0.23,11.27,3,64.0963855421687,52.33,0.9,A,A,B,C,C,AABCC
미원에스씨,1234297,268280,15.3001926523532,663.768941709835,14995.6267336967,13.2585651735367,5.66544895617334,6.21102343592445,-7.635329062715989,-0.334968526080509,1.5,55.7,3,30.0970873786408,-10.78,0.14,A,B,B,C,C,ABBCC
코스메카코리아,763473,241710,77.6171507631283,96.8816155441565,2913.71077855805,20.6956324610368,6.37234253757867,10.6372687930735,7.31531143625834,1.02642314651261,1.5,55.7,0,30.3680981595092,254.15,0.25,C,B,A,C,C,CBACC
아바텍,442048,149950,5.48390917059097,747.904663022013,1770.63434340028,9.66680055155563,6.33604790488748,3.37154909991495,-2.0977616381883,2.79459322015188,0.7,55.7,1,31.4754098360656,-2.8,0.4,A,B,B,C,C,ABBCC
